formula,concentration,temperature,soak_time,ph,curing_time,metal_a_type,metal_a_concentration,metal_b_type,molar_ratio_b_a,experiment_condition,Uniformity,Coverage,Adhesion,Timestamp
30.0,0.6000000089406967,35.0,13.0,8.5,10.0,10.0,40.0,4.0,7.0,1.0,1.0,0.939910463988781,1.0256572496145964,2025-12-01-16:43:57
5.0,2.600000038743019,30.0,18.0,7.0,30.0,19.0,30.0,16.0,5.0,1.0,1.0,0.9206358641386032,1.0940771475434303,2025-12-01-16:43:57
15.0,1.700000025331974,35.0,1.0,7.5,20.0,4.0,20.0,10.0,2.0,2.0,1.0,0.9866814073175192,1.0934598073363304,2025-12-01-16:43:57
19.0,4.000000059604645,25.0,28.0,7.0,20.0,13.0,50.0,9.0,8.0,1.0,1.0,0.9406420327723026,1.0869404450058937,2025-12-01-16:43:57
18.0,2.3000000342726707,30.0,24.0,7.0,15.0,2.0,10.0,13.0,3.0,2.0,1.0,0.9432284720242023,1.0741094052791595,2025-12-01-16:43:57
1.0,0.10000000149011612,40.0,30.0,6.0,30.0,20.0,50.0,0.0,10.0,1.0,1.0,0.966642789542675,1.0578185580670834,2025-12-01-16:43:59
30.0,5.0,40.0,1.0,7.0,10.0,20.0,50.0,19.0,1.0,2.0,1.0,0.9939960655756295,1.028456348925829,2025-12-01-16:43:59
30.0,5.0,25.0,1.0,9.0,30.0,1.0,10.0,20.0,10.0,2.0,1.0,0.9799334276467562,1.0501385629177094,2025-12-01-16:43:59
9.0,0.10000000149011612,25.0,3.0,6.5,30.0,20.0,50.0,0.0,1.0,1.0,1.0,0.9135056361556053,1.0272649116814137,2025-12-01-16:44:02
1.0,5.0,40.0,1.0,4.0,10.0,1.0,10.0,20.0,10.0,2.0,1.0,0.9600233361124992,1.0002597868442535,2025-12-01-16:44:02
30.0,0.10000000149011612,25.0,1.0,7.0,30.0,20.0,10.0,0.0,10.0,2.0,1.0,0.9165364652872086,1.0878817364573479,2025-12-01-16:44:02
1.0,5.0,25.0,30.0,6.0,10.0,20.0,50.0,0.0,10.0,2.0,1.0,0.999343884002883,1.0114180510863662,2025-12-01-16:44:06
30.0,0.10000000149011612,40.0,1.0,7.0,30.0,1.0,50.0,20.0,1.0,2.0,1.0,0.9623648710548878,1.0837438628077507,2025-12-01-16:44:06
30.0,5.0,40.0,1.0,9.0,30.0,20.0,10.0,0.0,1.0,2.0,1.0,0.9416308887302876,1.0119697274640203,2025-12-01-16:44:06
1.0,0.10000000149011612,40.0,1.0,6.0,10.0,20.0,50.0,19.0,10.0,1.0,0.9441100329671739,0.9221386983990669,1.0101800141856074,2025-12-01-16:44:12
30.0,1.1000000163912773,25.0,30.0,7.0,30.0,1.0,10.0,0.0,1.0,2.0,1.0,0.9183991029858589,1.0306022595614195,2025-12-01-16:44:12
1.0,3.8000000566244125,40.0,1.0,6.0,25.0,1.0,10.0,0.0,10.0,2.0,1.0,0.9492347277700901,1.040119208395481,2025-12-01-16:44:12
27.0,0.4000000059604645,30.0,1.0,8.0,25.0,2.0,20.0,12.0,4.0,1.0,1.0,0.9970265447627753,1.052191387861967,2025-12-01-16:44:22
12.0,4.800000071525574,30.0,19.0,5.5,25.0,19.0,50.0,13.0,3.0,2.0,1.0,0.9840486757457256,1.0906595811247826,2025-12-01-16:44:22
10.0,0.5000000074505806,25.0,30.0,6.0,30.0,20.0,50.0,8.0,10.0,2.0,1.0,0.980354368686676,1.0463899187743664,2025-12-01-16:44:22
